répondre - indicatif - imparfait - deuxième_pluriel,répondre,répondiez,\vu ʁe.pɔ̃.dje\,indicatif,imparfait,deuxième_pluriel
répondre - indicatif - imparfait - troisième_pluriel,répondre,répondaient,\[il/ɛl] ʁe.pɔ̃.dɛ\,indicatif,imparfait,troisième_pluriel
répondre - indicatif - passé_simple - première_singulier,répondre,répondis,\ʒə ʁe.pɔ̃.di\,indicatif,passé simple,première_singulier
répondre - indicatif - passé_simple - deuxième_singulier,répondre,répondis,\ty ʁe.pɔ̃.di\,indicatif,passé simple,deuxième_singulier
répondre - indicatif - passé_simple - troisième_singulier,répondre,répondit,\[il/ɛl/ɔ̃] ʁe.pɔ̃.di\,indicatif,passé simple,troisième_singulier
répondre - indicatif - passé_simple - première_pluriel,répondre,répondîmes,\nu ʁe.pɔ̃.dim\,indicatif,passé simple,première_pluriel
répondre - indicatif - passé_simple - deuxième_pluriel,répondre,répondîtes,\vu ʁe.pɔ̃.dit\,indicatif,passé simple,deuxième_pluriel
répondre - indicatif - passé_simple - troisième_pluriel,répondre,répondirent,\[il/ɛl] ʁe.pɔ̃.diʁ\,indicatif,passé simple,troisième_pluriel
répondre - indicatif - futur_simple - première_singulier,répondre,répondrai,\ʒə ʁe.pɔ̃.dʁe\,indicatif,futur simple,première_singulier
répondre - indicatif - futur_simple - deuxième_singulier,répondre,répondras,\ty ʁe.pɔ̃.dʁa\,indicatif,futur simple,deuxième_singulier
répondre - indicatif - futur_simple - troisième_singulier,répondre,répondra,\[il/ɛl/ɔ̃] ʁe.pɔ̃.dʁa\,indicatif,futur simple,troisième_singulier
répondre - indicatif - futur_simple - première_pluriel,répondre,répondrons,\nu ʁe.pɔ̃.dʁɔ̃\,indicatif,futur simple,première_pluriel
répondre - indicatif - futur_simple - deuxième_pluriel,répondre,répondrez,\vu ʁe.pɔ̃.dʁe\,indicatif,futur simple,deuxième_pluriel
répondre - indicatif - futur_simple - troisième_pluriel,répondre,répondront,\[il/ɛl] ʁe.pɔ̃.dʁɔ̃\,indicatif,futur simple,troisième_pluriel
répondre - subjonctif - présent - première_singulier,répondre,réponde,\kə ʒə ʁe.pɔ̃d\,subjonctif,présent,première_singulier
répondre - subjonctif - présent - deuxième_singulier,répondre,répondes,\kə ty ʁe.pɔ̃d\,subjonctif,présent,deuxième_singulier
répondre - subjonctif - présent - troisième_singulier,répondre,réponde,\k‿[il/ɛl/ɔ̃] ʁe.pɔ̃d\,subjonctif,présent,troisième_singulier
répondre - subjonctif - présent - première_pluriel,répondre,répondions,\kə nu ʁe.pɔ̃.djɔ̃\,subjonctif,présent,première_pluriel
répondre - subjonctif - présent - deuxième_pluriel,répondre,répondiez,\kə vu ʁe.pɔ̃.dje\,subjonctif,présent,deuxième_pluriel
répondre - subjonctif - présent - troisième_pluriel,répondre,répondent,\k‿[il/ɛl] ʁe.pɔ̃d\,subjonctif,présent,troisième_pluriel
répondre - subjonctif - imparfait - première_singulier,répondre,répondisse,\kə ʒə ʁe.pɔ̃.dis\,subjonctif,imparfait,première_singulier
répondre - subjonctif - imparfait - deuxième_singulier,répondre,répondisses,\kə ty ʁe.pɔ̃.dis\,subjonctif,imparfait,deuxième_singulier
répondre - subjonctif - imparfait - troisième_singulier,répondre,répondît,\k‿[il/ɛl/ɔ̃] ʁe.pɔ̃.di\,subjonctif,imparfait,troisième_singulier
répondre - subjonctif - imparfait - première_pluriel,répondre,répondissions,\kə nu ʁe.pɔ̃.di.sjɔ̃\,subjonctif,imparfait,première_pluriel
répondre - subjonctif - imparfait - deuxième_pluriel,répondre,répondissiez,\kə vu ʁe.pɔ̃.di.sje\,subjonctif,imparfait,deuxième_pluriel
répondre - subjonctif - imparfait - troisième_pluriel,répondre,répondissent,\k‿[il/ɛl] ʁe.pɔ̃.dis\,subjonctif,imparfait,troisième_pluriel
répondre - conditionnel - présent - première_singulier,répondre,répondrais,\ʒə ʁe.pɔ̃.dʁɛ\,conditionnel,présent,première_singulier
répondre - conditionnel - présent - deuxième_singulier,répondre,répondrais,\ty ʁe.pɔ̃.dʁɛ\,conditionnel,présent,deuxième_singulier
répondre - conditionnel - présent - troisième_singulier,répondre,répondrait,\[il/ɛl/ɔ̃] ʁe.pɔ̃.dʁɛ\,conditionnel,présent,troisième_singulier
répondre - conditionnel - présent - première_pluriel,répondre,répondrions,\nu ʁe.pɔ̃.dʁi.jɔ̃\,conditionnel,présent,première_pluriel
répondre - conditionnel - présent - deuxième_pluriel,répondre,répondriez,\vu ʁe.pɔ̃.dʁi.je\,conditionnel,présent,deuxième_pluriel
répondre - conditionnel - présent - troisième_pluriel,répondre,répondraient,\[il/ɛl] ʁe.pɔ̃.dʁɛ\,conditionnel,présent,troisième_pluriel
sortir - indicatif - présent - première_singulier,sortir,sors,\ʒə sɔʁ\,indicatif,présent,première_singulier
sortir - indicatif - présent - deuxième_singulier,sortir,sors,\ty sɔʁ\,indicatif,présent,deuxième_singulier
sortir - indicatif - présent - troisième_singulier,sortir,sort,\[il/ɛl/ɔ̃] sɔʁ\,indicatif,présent,troisième_singulier
sortir - indicatif - présent - première_pluriel,sortir,sortons,\nu sɔʁ.tɔ̃\,indicatif,présent,première_pluriel
sortir - indicatif - présent - deuxième_pluriel,sortir,sortez,\vu sɔʁ.te\,indicatif,présent,deuxième_pluriel
sortir - indicatif - présent - troisième_pluriel,sortir,sortent,\[il/ɛl] sɔʁt\,indicatif,présent,troisième_pluriel
sortir - indicatif - imparfait - première_singulier,sortir,sortais,\ʒə sɔʁ.tɛ\,indicatif,imparfait,première_singulier
sortir - indicatif - imparfait - deuxième_singulier,sortir,sortais,\ty sɔʁ.tɛ\,indicatif,imparfait,deuxième_singulier
sortir - indicatif - imparfait - troisième_singulier,sortir,sortait,\[il/ɛl/ɔ̃] sɔʁ.tɛ\,indicatif,imparfait,troisième_singulier
sortir - indicatif - imparfait - première_pluriel,sortir,sortions,\nu sɔʁ.tjɔ̃\,indicatif,imparfait,première_pluriel
sortir - indicatif - imparfait - deuxième_pluriel,sortir,sortiez,\vu sɔʁ.tje\,indicatif,imparfait,deuxième_pluriel
sortir - indicatif - imparfait - troisième_pluriel,sortir,sortaient,\[il/ɛl] sɔʁ.tɛ\,indicatif,imparfait,troisième_pluriel
sortir - indicatif - passé_simple - première_singulier,sortir,sortis,\ʒə sɔʁ.ti\,indicatif,passé simple,première_singulier
